NumResponses,ATE0.02,ATE0.04,ATE0.06,ATE0.08,ATE0.1
25,0.085,0.092,0.168,0.255,0.396
50,0.065,0.156,0.287,0.478,0.638
100,0.104,0.269,0.527,0.774,0.912
250,0.175,0.538,0.895,0.989,0.999
500,0.302,0.833,0.991,1,1
1000,0.555,0.991,1,1,1
